"Subj","Group","TimeNearStimulus","TimeFarStimulus","AbsoluteTurnAngle","Speed"
"P1","1 conspecific",211.740015,197.818059,20.55358206744,5.38789247157895
"P2","3 conspecifics",384.937584,50.612261,20.3867446,4.79799261829026
"P3","3 conspecifics",281.89902,187.755207,21.65546927,4.69376469964029
"P4","1 conspecific",308.923673,129.500022,21.85357049,4.99159295591182
"P5","3 conspecifics",235.240169,253.376559,22.1666134,5.43350967411546
"P6","1 conspecific",464.848298,21.983104,20.8868397,5.30312485205993
"P7","1 conspecific",202.780991,33.310299,16.05703446,4.93478946543779
"P8","3 conspecifics",162.143428,183.552891,18.40030299,4.50467267024129
"P9","3 conspecifics",151.007143,37.976808,16.10868128,2.24691824561404
"P10","3 conspecifics",446.931124,34.101667,20.75660446,3.81956919417476
"P11","1 conspecific",312.658696,24.981704,25.21214098,4.01241748918919
"P12","1 conspecific",309.077474,18.368886,20.94281691,4.09329604199475
"P13","3 conspecifics",494.123078,45.888417,23.87414102487,4.90119138898757
"P14","1 conspecific",311.844805,101.49176,16.05046079,3.58562263585434
"P15","1 conspecific",385.074364,69.487303,18.81451056,3.758818705
"P16","1 conspecific",346.960516,2.0,16.75629187,3.712141849
"P17","3 conspecifics",399.724218,37.542671,23.58637794,4.268939357
"P18","1 conspecific",364.532829,94.352524,23.38373202,5.239481039
"P19","1 conspecific",289.356433,140.345531,26.06319937,4.741324806
"P20","1 conspecific",418.627791,4.778985,15.0891108,5.250420113
"P21","3 conspecifics",532.35,13.461538,21.07454561,5.921316245
"P22","3 conspecifics",258.185085,67.093033,19.47498676,2.822166263
"P23","3 conspecifics",389.426028,102.560034,22.13708143,5.0628307
"P24","3 conspecifics",392.15161,16.107284,22.35565363,3.163317533
